spheres;BubbleSort;InsertSort;MergeSort
10;1.242558E-06;1.386007E-06;1.186291E-05
15;1.145204E-06;1.069705E-06;1.488845E-05
20;1.476606E-06;1.37647E-06;1.893838E-05
25;1.646678E-06;1.438459E-06;2.393723E-05
30;1.945496E-06;1.684825E-06;2.680461E-05
35;2.101262E-06;1.856486E-06;4.783948E-05
40;2.272924E-06;2.148946E-06;3.734907E-05
45;2.597173E-06;2.07901E-06;5.031586E-05
50;2.625783E-06;2.365112E-06;5.030314E-05
55;3.172556E-06;2.358755E-06;4.863103E-05
60;3.439585E-06;2.581279E-06;7.620494E-05
65;3.477732E-06;2.797445E-06;6.041845E-05
70;3.852844E-06;2.816518E-06;7.065455E-05
75;3.992716E-06;3.153483E-06;7.510503E-05
80;4.533132E-06;3.534953E-06;7.42658E-05
85;4.564921E-06;3.528595E-06;7.774989E-05
90;5.187988E-06;3.611247E-06;8.272807E-05
95;5.50588E-06;4.030863E-06;9.137471E-05
100;5.734762E-06;4.094442E-06;9.833018E-05
